Time, UserID, Wireless Signal Status, Blink, Wink Left, Wink Right, Surprise, Furrow, Smile, Clench, LongTermExcitementRawNorm, ShortTermExcitementRawNorm, ShortTermExcitementRaw, ShortTermExcitementMin, ShortTermExcitementMax, RelaxationRawNorm, RelaxationRaw, RelaxationMin, RelaxationMax, StressRawNorm, StressRaw, StressMin, StressMax, EngagementRawNorm, EngagementRaw, EngagementMin, EngagementMax, InterestRawNorm, InterestRaw, InterestMin, InterestMax, FocusRawNorm, FocusRaw, FocusMin, FocusMax,
9.690283775,8192,2,1,0,0,0,0.067469433,0,0,0,0,0.509431422,0.412409753,0.703389406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296676308,0.509431422,0.412409753,0.703389406, 
9.78465271,8192,2,0,0,0,0,0.067469433,0,0,0,0,0.509431422,0.412409753,0.703389406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296676308,0.509431422,0.412409753,0.703389406, 
9.816115379,8192,2,0,0,0,0,0.099162385,0,0,0,0,0.509431422,0.412409753,0.703389406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296676308,0.509431422,0.412409753,0.703389406, 
9.940453529,8192,2,0,0,0,0,0.041314837,0,0,0.018728476,0.175852805,0.509431422,0.412409753,0.703389406,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.296676308,0.509431422,0.412409753,0.703389406, 
10.06578636,8192,2,0,0,0,0,0.013868146,0,0,0.018728476,0.175852805,0.509431422,0.412409753,0.703389406,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.296725184,0.50940299,0.413166583,0.701793075, 
10.19086456,8192,2,0,0,0,0,0.020664385,0,0,0.018728476,0.175852805,0.50940299,0.413166583,0.701793075,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.296725184,0.50940299,0.413166583,0.701793075, 
10.3155489,8192,2,0,0,0,0,0.020078463,0,0,0.018728476,0.175852805,0.50940299,0.413166583,0.701793075,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.296725184,0.50940299,0.413166583,0.701793075, 
10.44101524,8192,2,0,0,0,0,0.013784689,0,0,0.018728476,0.175852805,0.50940299,0.413166583,0.701793075,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.296725184,0.50940299,0.413166583,0.701793075, 
10.56688786,8192,2,0,0,0,0,0.058743961,0,0,0.018728476,0.175852805,0.50940299,0.413166583,0.701793075,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
10.6921854,8192,2,0,0,0,0,0.050991949,0,0,0.018728476,0.175852805,0.509375393,0.413920194,0.700247526,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.299981743,0.509375393,0.413920194,0.700247526, 
